paper_title,DOI,year,Provenance,Ref,Feedstock,Family_std,C_feed_wt_pct,H_feed_wt_pct,O_feed_wt_pct,N_feed_wt_pct,S_feed_wt_pct,Ash_feed_wt_pct,Lignin_feed_wt_pct,Cellulose_feed_wt_pct,Hemicellulose_feed_wt_pct,Extractives_feed_wt_pct,LCH_total_wt_pct,Lignin_share_pct,Holo_share_pct,Lignin_from_LCH_wt_pct,Cellulose_from_LCH_wt_pct,Hemicellulose_from_LCH_wt_pct,Moisture_min_wt_pct_ar,Moisture_max_wt_pct_ar,O_C_feed_molar,H_C_feed_molar,HHV_feed_MJ_per_kg,LRI,LRI_imputed,sum_LCH_wt_pct,sum_CHONSAsh_wt_pct,sum_CHONS_wt_pct,LCH_closure_flag,process_type,process_subtype,reactor,atmosphere,solvent_or_medium,T_reaction_C,t_residence_min,t_ramp_min,IC_feed_wt_pct_slurry,pressure_reaction_MPa,heating_rate_C_per_min,stirring_rpm,water_biomass_ratio_kg_kg,catalyst,cat_biomass_ratio_kg_kg,yield_basis,separation_method,Yield_biooil_wt_pct,Yield_char_wt_pct,Yield_aqueous_wt_pct,Yield_gas_wt_pct,Yield_gas_water_wt_pct,Energy_yield_biooil_pct,Energy_yield_char_pct,Carbon_yield_biooil_pct,Carbon_yield_char_pct,HHV_biooil_MJ_per_kg,C_biooil_wt_pct,H_biooil_wt_pct,O_biooil_wt_pct,N_biooil_wt_pct,S_biooil_wt_pct,O_C_biooil_molar,H_C_biooil_molar,HHV_char_MJ_per_kg,C_char_wt_pct,H_char_wt_pct,O_char_wt_pct,N_char_wt_pct,S_char_wt_pct,O_C_char_molar,H_C_char_molar,LCH_total_imputed_wt_pct,Lignin_share_imputed_pct,C_Note,C_method,O/C_Note,OC_method,H/C_Note,HC_method,t_note,HHV_feedstock_method,HHV_feedstock_imputed,HHV_biooil_method,HHV_biochar_method,S_method,S_biooil_method,S_biochar_method,Lignin_method,Lignin_imputed,cellulose_method,cellulose_imputed,hemicellulose_method,hemicellulose_imputed,Ash_method,Ash_imputed,LRI_imputed_source,LCH_total_imputed_source,Lignin_share_imputed_source
Liquid Fuel Production from Woody Biomass by Direct Liquefaction,https://doi.org/10.1627/jpi1958.36.73,1993,Table 8 — Heavy oil properties (2-PrOH series),"Ogi & Yokoyama, Sekiyu Gakkaishi 36(2):73–84 (1993)",Japanese oak (Konara),Woody Biomass / Hardwood,46.65,5.83,47.31,0.21,0.0,0.38,23.81,47.6156464811784,28.744353518821605,0.8,100.17000000000002,0.2376959169411999,0.7623040830588002,,,,,,0.7606109324758843,1.49967845659164,15.66,0.544,0.544,100.17,100.37999999999998,100.0,OK,Hydrothermal,HTL_solvothermal,100 mL stainless-steel batch autoclave,,Water + 2-PrOH,,60.0,,,autogenic,,,,none,0.0,wt% of dry feedstock,,52.8,,,,,12.8304,,0.32868,,24.3,62.25,6.2,31.55,,,0.38,0.0995983935742971,,,,,,,,,100.17000000000002,0.2376959169411999,,Original,,Original,,Original,equivalent residence time ,Dulong,True,,,assumed_zero_closure,,,Ogi1993_Table5_L,False,Ogi1993_C+H_split_family_median,True,Ogi1993_C+H_split_family_median,True,,False,formula,formula,formula
Hydrothermal processing of duckweed: Effect of reaction conditions on product distribution and composition,https://doi.org/10.1016/j.biortech.2012.08.106,2013,"Fig. 2a — effect of temperature (60 min, 2.5 g)",Duan_2013_BioresourceTech,Duckweed (Lemna sp.),Aquatic Biomass,30.0,4.3,20.1,2.1,0.8,26.0,2.8,11.9,13.8,3.4,28.5,0.09824561403508772,0.9017543859649123,,,,,,0.5025000000000001,1.72,12.8,0.479,0.479,28.5,83.3,57.3,OK,Hydrothermal,HTC,"25 mL stainless-steel Swagelok tube; molten-salt bath, 3–5 min heat-up","sealed, autogenous",Water,20.0,60.0,,22.32142857142857,"sealed, autogenic (subcritical water, ~10–20 MPa est.)",,,4.48,none,0.0,wt% of dry duckweed feedstock,DCM extraction → filtration → phase split → rotary evaporation at 30 °C,3.0,78.3,18.7,0.0,,,,,,,,,,,,,,,,,,,,,,28.5,0.09824561403508772,,Original,,Original,,Original,equivalent residence time ,Dulong,True,,,reported,,,,False,,False,,False,,False,formula,formula,formula
Hydrothermal processing of duckweed: Effect of reaction conditions on product distribution and composition,https://doi.org/10.1016/j.biortech.2012.08.106,2013,"Table 1 — elemental composition of bio-oil, temperature series",Duan_2013_BioresourceTech,Duckweed (Lemna sp.),Aquatic Biomass,30.0,4.3,20.1,2.1,0.8,26.0,2.8,11.9,13.8,3.4,28.5,0.09824561403508772,0.9017543859649123,,,,,,0.5025000000000001,1.72,12.8,0.479,0.479,28.5,83.3,57.3,OK,Hydrothermal,HTC,"25 mL stainless-steel Swagelok tube; molten-salt bath, 3–5 min heat-up","sealed, autogenous",Water,25.0,60.0,,22.32142857142857,"sealed, autogenic (subcritical water, ~10–20 MPa est.)",,,4.48,none,0.0,wt% of dry feedstock,DCM extraction → filtration → phase split → rotary evaporation at 30 °C,,,,,,,,,,39.2,75.08,11.26,12.81,0.52,0.33,0.128,0.1499733617474693,,,,,,,,,28.5,0.09824561403508772,,Original,,Original,,Original,equivalent residence time ,Dulong,True,,,reported,reported,,,False,,False,,False,,False,formula,formula,formula
Effect of hydrogen peroxide on the depolymerization of prot lignin,https://doi.org/10.1016/j.indcrop.2020.112355,2020,Tables 1-4,Ref_Kumar_2020_ProtLignin,Protobind 1000 lignin,Lignin-rich Streams (Technical),61.0,7.0,27.0,0.0,2.0,3.0,93.0,0.0,0.0,0.0,93.0,1.0,0.0,,,,,,0.33196721311475413,1.3770491803278688,26.05,0.999,0.999,93.0,100.0,97.0,OK,Hydrothermal,HTC,50 mL Teflon-lined batch autoclave,N2 (inert) + 1.0 mL 30% H2O2,Water/Ethanol (1:1 mass ratio),100.0,60.0,,9.0,autogenic,5.0,,11.111,none,0.0,wt% of dry lignin,Filtration + solvent evaporation,72.8,15.9,,11.3,,,,,,,,,,,,,,,,,,,,,,93.0,1.0,,Original,,Original,,Original,equivalent residence time ,Dulong,True,,,reported,,,,False,,False,,False,,False,formula,formula,formula
Enhanced bio-crude yield and quality by reductive hydrothermal liquefaction of oak wood biomass: Effect of iron addition,10.1016/j.enconman.2019.03.027,2019,,,Oak wood,Woody Biomass / Hardwood,50.2,7.0,42.8,,,2.0,32.0,38.1,23.0,6.9,93.1,0.34371643394199786,0.6562835660580022,,,,7.0,15.0,0.6394422310756971,1.6733067729083664,19.36,0.623,0.623,93.1,102.0,100.0,OK,Hydrothermal,HTC,SS tubular microreactor (10 mL),,Water,110.0,15.0,,16.666666666666664,autogenic,60.0,130.0,5.0,none,0.0,wt% of dry feedstock,venting + filtration + acetone extraction,0.0,92.06,6.729999999999998,1.21,7.939999999999998,,,,,,,,,,,,,,,,,,,,,93.1,0.34371643394199786,,Original,,Original,,Original,equivalent residence time ,Dulong,True,,,,,,,False,,False,,False,,False,formula,formula,formula
Effect of hydrogen peroxide on the depolymerization of prot lignin,https://doi.org/10.1016/j.indcrop.2020.112355,2020,Tables 1-4,Ref_Kumar_2020_ProtLignin,Protobind 1000 lignin,Lignin-rich Streams (Technical),61.0,7.0,27.0,0.0,2.0,3.0,93.0,0.0,0.0,0.0,93.0,1.0,0.0,,,,,,0.33196721311475413,1.3770491803278688,26.05,0.999,0.999,93.0,100.0,97.0,OK,Hydrothermal,HTC,50 mL Teflon-lined batch autoclave,N2 (inert) + 1.0 mL 30% H2O2,Water/Ethanol (1:1 mass ratio),120.0,60.0,,9.0,autogenic,5.0,,11.111,none,0.0,wt% of dry lignin,Filtration + solvent evaporation,79.5,2.6,,17.9,,,,,,,,,,,,,,,,,,,,,,93.0,1.0,,Original,,Original,,Original,equivalent residence time ,Dulong,True,,,reported,,,,False,,False,,False,,False,formula,formula,formula
Effect of hydrogen peroxide on the depolymerization of prot lignin,https://doi.org/10.1016/j.indcrop.2020.112355,2020,Tables 1-4,Ref_Kumar_2020_ProtLignin,Protobind 1000 lignin,Lignin-rich Streams (Technical),61.0,7.0,27.0,0.0,2.0,3.0,93.0,0.0,0.0,0.0,93.0,1.0,0.0,,,,,,0.33196721311475413,1.3770491803278688,26.05,0.999,0.999,93.0,100.0,97.0,OK,Hydrothermal,HTC,50 mL Teflon-lined batch autoclave,N2 (inert) + 1.0 mL 30% H2O2,Water/Ethanol (1:1 mass ratio),120.0,15.0,,9.0,autogenic,5.0,,11.111,none,0.0,wt% of dry lignin,Filtration + solvent evaporation,70.8,17.9,,11.3,,,,,,,,,,,,,,,,,,,,,,93.0,1.0,,Original,,Original,,Original,equivalent residence time ,Dulong,True,,,reported,,,,False,,False,,False,,False,formula,formula,formula
Effect of hydrogen peroxide on the depolymerization of prot lignin,https://doi.org/10.1016/j.indcrop.2020.112355,2020,Tables 1-4,Ref_Kumar_2020_ProtLignin,Protobind 1000 lignin,Lignin-rich Streams (Technical),61.0,7.0,27.0,0.0,2.0,3.0,93.0,0.0,0.0,0.0,93.0,1.0,0.0,,,,,,0.33196721311475413,1.3770491803278688,26.05,0.999,0.999,93.0,100.0,97.0,OK,Hydrothermal,HTC,50 mL Teflon-lined batch autoclave,N2 (inert) + 1.0 mL 30% H2O2,Water/Ethanol (1:1 mass ratio),120.0,30.0,,9.0,autogenic,5.0,,11.111,none,0.0,wt% of dry lignin,Filtration + solvent evaporation,80.0,6.6,,13.4,,,,,,,,,,,,,,,,,,,,,,93.0,1.0,,Original,,Original,,Original,equivalent residence time ,Dulong,True,,,reported,,,,False,,False,,False,,False,formula,formula,formula
Effect of hydrogen peroxide on the depolymerization of prot lignin,https://doi.org/10.1016/j.indcrop.2020.112355,2020,Tables 1-4,Ref_Kumar_2020_ProtLignin,Protobind 1000 lignin,Lignin-rich Streams (Technical),61.0,7.0,27.0,0.0,2.0,3.0,93.0,0.0,0.0,0.0,93.0,1.0,0.0,,,,,,0.33196721311475413,1.3770491803278688,26.05,0.999,0.999,93.0,100.0,97.0,OK,Hydrothermal,HTC,50 mL Teflon-lined batch autoclave,N2 (inert) + 1.0 mL 30% H2O2,Water/Ethanol (1:1 mass ratio),120.0,120.0,,9.0,autogenic,5.0,,11.111,none,0.0,wt% of dry lignin,Filtration + solvent evaporation,75.6,9.5,,14.9,,,,,,,,,,,,,,,,,,,,,,93.0,1.0,,Original,,Original,,Original,equivalent residence time ,Dulong,True,,,reported,,,,False,,False,,False,,False,formula,formula,formula
Effect of hydrogen peroxide on the depolymerization of prot lignin,https://doi.org/10.1016/j.indcrop.2020.112355,2020,Tables 1-4,Ref_Kumar_2020_ProtLignin,Protobind 1000 lignin,Lignin-rich Streams (Technical),61.0,7.0,27.0,0.0,2.0,3.0,93.0,0.0,0.0,0.0,93.0,1.0,0.0,,,,,,0.33196721311475413,1.3770491803278688,26.05,0.999,0.999,93.0,100.0,97.0,OK,Hydrothermal,HTC,50 mL Teflon-lined batch autoclave,1 bar N2 (no H2O2),Water/Ethanol (1:1 mass ratio),120.0,30.0,,10.0,autogenic,5.0,,10.0,none,0.0,wt% of dry lignin,Filtration + solvent evaporation,77.7,21.8,,0.5,,,,,,,,,,,,,,,,,,,,,,93.0,1.0,,Original,,Original,,Original,equivalent residence time ,Dulong,True,,,reported,,,,False,,False,,False,,False,formula,formula,formula
